ID,Nama,Tanggal,Jumlah
2024,Gabriel Lucero,7/28/2024,881
2025,Amber Solis,12/1/2024,456
2026,Mary Neal,7/31/2024,284
2027,Kyle Lewis,11/19/2024,225
2028,Jennifer Reid,10/13/2024,727
2029,Christopher Brown,7/31/2024,401
2030,Richard Caldwell,2/13/2025,591
2031,Megan Manning,7/18/2024,585
2032,Trevor Martinez,4/27/2024,763
2033,Lisa Molina,8/4/2024,774
2034,Betty Powell,9/3/2024,953
2035,Keith Allison,6/23/2024,203
2036,Kelly House,12/18/2024,16
2037,Megan Richards,7/17/2024,497
2038,Calvin Kaiser,7/7/2024,527
2039,Alexander Graham,11/21/2024,228
2040,Whitney Owen,9/5/2024,505
2041,Jessica Parker,3/29/2025,65
2042,Kyle Harris,3/4/2025,548
2043,Vanessa Lopez,9/20/2024,520
2044,Patricia Browning,3/18/2025,533
2045,Stephanie Weaver,1/21/2025,791
2046,Lori Lee,10/23/2024,592
2047,Jack Parks,1/20/2025,149
2048,Gary Watson,1/5/2025,14
2049,Ryan Martin,1/6/2025,820
2050,Joseph Dyer,9/29/2024,410
2051,Richard White,7/13/2024,884
2052,Emily Riley,4/27/2024,511
2053,Raymond Phillips,3/20/2025,171
2054,Margaret Waters,10/8/2024,439
2055,Kara Rice,10/15/2024,30
2056,Joseph Hodge,11/17/2024,253
2057,Stephen Rodriguez,4/15/2025,382
2058,Sean Ruiz,5/7/2024,605
2059,Angelica Brown,11/26/2024,231
2060,Janet Roberson,3/16/2025,275
2061,Elizabeth Reed,7/15/2024,537
2062,Lisa Evans,1/25/2025,604
2063,Abigail Lee,11/10/2024,415
2064,Jason Charles,8/10/2024,295
2065,Craig Hicks,10/17/2024,752
2066,Christopher Brown,1/24/2025,723
2067,Yvonne Jones,6/10/2024,727
2068,Justin Decker,11/4/2024,925
2069,Carl Carpenter,1/12/2025,484
2070,Robert Castro,9/26/2024,658
2071,David Chan,6/19/2024,457
2072,Charles Clark,4/10/2025,178
2073,Michelle Smith,8/19/2024,600
2074,Jimmy Cabrera,4/29/2024,357
2075,Gary Abbott,4/3/2025,749
2076,Jason Adams,1/22/2025,675
2077,Dawn Allen,1/1/2025,154
2078,Tyler Gillespie,5/12/2024,205
2079,Troy Bass,5/10/2024,688
2080,Jacob Day,11/28/2024,96
2081,Christina Fuller,11/19/2024,164
2082,Amber Hopkins,9/30/2024,727
2083,Catherine Sims,9/12/2024,64
2084,Joseph Morales,8/16/2024,57
2085,Catherine Allen,4/15/2025,350
2086,Sarah Nguyen,4/12/2025,178
2087,Michele Branch,12/25/2024,984
2088,Natalie Holmes,2/9/2025,397
2089,Alyssa Brown,12/28/2024,301
2090,Brian Clark,11/28/2024,161
2091,Marie Miller,11/28/2024,50
2092,Stephanie Wilson,8/22/2024,891
2093,Donald Horn,11/17/2024,808
2094,Sarah Miller,8/9/2024,103
2095,Anthony Oconnor,1/18/2025,638
2096,Colin Spencer,5/30/2024,97
2097,Ashley Chavez,4/5/2025,56
2098,William Melton,8/12/2024,189
2099,Grant Johnson,7/30/2024,364
2100,Richard Snow,12/17/2024,718
2101,Elizabeth James,9/7/2024,942
2102,Meredith Morrison,2/27/2025,900
2103,Dr. Charles Jenkins,4/20/2025,888
2104,Gina Ross,11/29/2024,869
2105,Aaron Nguyen,1/16/2025,437
2106,Jessica May MD,9/19/2024,748
2107,Victoria Watson,2/24/2025,208
2108,Steven Fletcher,4/13/2025,770
2109,Joseph Webb,4/5/2025,756
2110,Antonio Russell,6/5/2024,959
2111,Arthur Cline,11/27/2024,169
2112,Jessica Casey,5/24/2024,821
2113,Kevin Thornton,5/6/2024,469
2114,Mackenzie Vargas,1/29/2025,1000
2115,David Davis,9/23/2024,752
2116,Brian Smith,11/6/2024,827
2117,Lisa Rogers,5/10/2024,89
2118,William Howard,12/18/2024,905
2119,Calvin Chandler,2/16/2025,477
2120,Scott Howell,2/5/2025,477
2121,Lori Williams,3/26/2025,575
2122,David Wagner,6/26/2024,110
2123,Samantha Butler,1/10/2025,280
2124,Mariah Anderson,6/10/2024,168
2125,Mark Noble,11/24/2024,660
2126,Melissa White,12/31/2024,743
2127,Megan Larson,10/28/2024,46
2128,Hannah Bond,1/3/2025,474
2129,Jennifer Campos,9/11/2024,404
2130,Alexander Sandoval,9/19/2024,517
2131,Mr. Bryce Adkins MD,8/31/2024,936
2132,Kevin Moss,9/6/2024,505
2133,Mike Rodriguez,7/12/2024,727
2134,Antonio Howe,10/31/2024,889
2135,Jacqueline Hill,3/7/2025,700
2136,Phillip James,3/1/2025,792
2137,Mrs. Sherry Chavez,8/11/2024,133
2138,Michelle Miranda,10/31/2024,335
2139,Billy Kennedy,1/21/2025,144
2140,Gregory Sims,4/1/2025,795
2141,Manuel Brown,10/29/2024,488
2142,Jacob Leach,10/11/2024,216
2143,Deanna King,8/31/2024,656
2144,Hannah Aguilar,12/10/2024,994
2145,Katie Johnson,10/30/2024,291
2146,Barbara Parker,9/16/2024,108
2147,Shawn Bell,4/8/2025,929
2148,Richard Hill,10/22/2024,649
2149,Meghan Glover,12/13/2024,483
2150,Jeremiah Smith,2/26/2025,452
2151,Joel Hebert,2/8/2025,78
2152,James Moore,5/31/2024,400
2153,Ann Owens,9/17/2024,960
2154,Scott Mathews,5/24/2024,829
2155,Michelle Olson,12/10/2024,523
2156,Victor Fisher,2/17/2025,523
2157,Sean Harris,7/28/2024,755
2158,Jeremy Potts,7/13/2024,547
2159,Brett Lang,6/25/2024,767
2160,Alyssa Waller,8/21/2024,478
2161,Audrey Berry,2/19/2025,558
2162,Christopher Turner,2/2/2025,932
2163,Jordan Whitaker,4/17/2025,731
2164,Sarah Morgan,1/22/2025,800
2165,James Williams,9/6/2024,354
2166,Jamie Jackson,9/25/2024,643
2167,Jeffrey Harris,5/6/2024,520
2168,Julie Holland,9/2/2024,959
2169,Stephanie Mckinney,5/30/2024,846
2170,Daniel Carpenter,5/9/2024,259
2171,Michael Cooper,9/17/2024,759
2172,Victoria Stevens,1/5/2025,183
2173,Jean Williams,10/20/2024,110
2174,Troy Stewart,8/2/2024,664
2175,William Hernandez,3/6/2025,687
2176,Jason Jones,4/27/2025,859
2177,Kimberly Elliott,1/17/2025,675
2178,Kathy Smith,7/12/2024,791
2179,Scott George,1/15/2025,330
2180,Thomas Benton,3/24/2025,485
2181,Keith Gutierrez,1/17/2025,518
2182,John Bird,5/25/2024,410
2183,Jesse Reed,7/14/2024,515
2184,Meagan Boyer,2/25/2025,915
2185,Tara Martin,10/29/2024,153
2186,Joseph Hobbs,11/30/2024,779
2187,Randy Cowan,1/19/2025,20
2188,Joann Gomez,4/7/2025,803
2189,Teresa Pitts,4/14/2025,516
2190,Dana Jackson,3/6/2025,125
2191,Steven Mills,5/9/2024,580
2192,Tom Rice,3/11/2025,936
2193,Ian Terry,2/7/2025,458
2194,Whitney Lopez,2/22/2025,118
2195,Jack Stewart,6/15/2024,691
2196,Zachary Campbell,11/12/2024,75
2197,Michael Brown,6/12/2024,326
2198,Catherine Cook,5/9/2024,323
2199,Andrew Fowler,6/28/2024,54
2200,Sean Thomas,3/14/2025,741
2201,Angela Castillo,7/22/2024,921
2202,Sabrina Oconnell,3/6/2025,89
2203,Sean Mendoza,4/20/2025,863
2204,Stephanie Blair,9/12/2024,630
2205,Jeffery Flowers,5/31/2024,1000
2206,Brett Vang,12/27/2024,509
2207,Shaun Wilson,10/11/2024,26
2208,Kyle Mack,6/29/2024,229
2209,Michelle Evans,5/30/2024,704
2210,Jason Johnson,12/7/2024,887
2211,John Garcia,9/20/2024,708
2212,Courtney Barnett,5/4/2024,508
2213,Stacey Becker,3/1/2025,993
2214,Joe Mcmahon,7/12/2024,173
2215,Jeremy West,12/17/2024,72
2216,Dr. Kara Hawkins MD,5/10/2024,537
2217,Holly Curtis,4/10/2025,246
2218,Christian Benson,9/13/2024,569
2219,Carlos Martin,6/8/2024,880
2220,Kenneth Eaton,2/19/2025,930
2221,Joel Flores,10/24/2024,756
2222,Jack Brooks,2/8/2025,422
2223,Kenneth Martin,12/25/2024,484
2224,Wesley Hunter,2/15/2025,455
2225,Rebecca Diaz,11/2/2024,99
2226,Thomas Zavala,9/4/2024,895
2227,Todd Dyer,9/29/2024,695
2228,Sonia Smith,9/12/2024,391
2229,Olivia Miller,4/24/2025,725
2230,Kyle Stephens,11/30/2024,79
2231,Heather Smith,8/1/2024,136
2232,Casey Fleming,1/5/2025,49
2233,Matthew Wang,10/11/2024,398
2234,Ashley Collier,10/28/2024,771
2235,Chris Hansen,9/13/2024,660
2236,Joshua Ballard,1/31/2025,625
2237,Allison Mills,1/10/2025,906
2238,Bradley Morton,8/18/2024,608
2239,Kenneth Smith,4/27/2024,687
2240,Steven Kelly,9/3/2024,378
2241,Christopher Jordan,9/3/2024,936
2242,Alexis Rocha,3/31/2025,251
2243,Brandon Washington,3/1/2025,826
2244,Brooke Butler,12/27/2024,803
2245,David Scott,12/2/2024,749
2246,Steven Mack,9/2/2024,225
2247,Timothy French,10/29/2024,254
2248,Kelly Williams,7/5/2024,556
2249,Jeffrey Hill,8/28/2024,607
2250,Julia Pena,7/2/2024,269
2251,Suzanne Ross,5/16/2024,215
2252,Thomas Thompson,9/18/2024,873
2253,Joel Weiss,2/26/2025,444
2254,Jerry Oneill,1/4/2025,96
2255,Joseph Dillon,11/10/2024,578
2256,Keith Mathews,12/19/2024,659
2257,Matthew Riley,7/7/2024,901
2258,Marvin Black,9/28/2024,481
2259,Melissa Sims,3/18/2025,953
2260,Amanda Bray,9/13/2024,407
2261,Emily Gray,10/17/2024,512
2262,Joseph Brock,7/4/2024,20
2263,Andrew Fowler,4/22/2025,410
2264,Lauren Anderson,3/17/2025,107
2265,Haley Snow,9/19/2024,584
2266,Elizabeth Wilson,3/30/2025,180
2267,Luis Pearson,3/17/2025,634
2268,Justin Munoz,3/22/2025,28
2269,Richard Hernandez,6/16/2024,491
2270,Glenda Morrison,10/30/2024,915
2271,Kristina Hansen,7/17/2024,157
2272,Daniel Taylor,11/16/2024,303
2273,Jesus Reed,1/21/2025,644
2274,Cheryl Chang,3/25/2025,143
2275,Brian Charles,8/2/2024,818
2276,Gloria Sanders,8/26/2024,575
2277,Dr. Jacqueline Phillips,3/27/2025,951
2278,Thomas May,8/12/2024,801
2279,Kathryn Kelly,12/4/2024,170
2280,William Romero,12/6/2024,928
2281,Jessica Moody,11/13/2024,38
2282,Jessica Proctor,9/5/2024,894
2283,Derrick Nichols,12/19/2024,491
2284,Donald Moreno,3/8/2025,846
2285,Nicholas Reynolds,2/24/2025,677
2286,Charles Castillo,11/6/2024,83
2287,Eric Jennings,1/16/2025,44
2288,Devon Walker,2/1/2025,747
2289,Joy Mueller,9/15/2024,45
2290,Marcus Boyer DDS,3/9/2025,273
2291,Ariel Madden,12/29/2024,259
2292,Steven Campbell,8/11/2024,791
2293,Jason Fields,11/8/2024,706
2294,Paula Wang,2/23/2025,164
2295,Paul Hogan,2/12/2025,100
2296,Terry Harris,5/27/2024,351
2297,Lisa Escobar,4/16/2025,908
2298,Denise Lewis,7/11/2024,308
2299,Jeremy Malone,1/29/2025,995
2300,Lisa Flores,7/23/2024,349
2301,James Brown,10/1/2024,890
2302,Pamela Sanchez,7/8/2024,521
2303,Lance Smith,11/15/2024,304
2304,Jesse Reese,3/20/2025,94
2305,William Johnson,10/14/2024,836
2306,Alec Preston,3/9/2025,151
2307,Devin Hughes,8/4/2024,864
2308,Sharon Miller,1/7/2025,361
2309,Danielle Salinas,2/18/2025,654
2310,Angela Stone,12/17/2024,373
2311,Gina Reed,3/9/2025,947
2312,Jeffrey Cunningham,4/3/2025,482
2313,Maria Brooks,7/29/2024,842
2314,Audrey Bailey,12/5/2024,601
2315,Henry Davenport,4/24/2025,262
2316,Amy Blair,1/24/2025,985
2317,Danielle Cole,6/7/2024,19
2318,Theresa Adkins,7/12/2024,403
2319,Austin Camacho,1/9/2025,500
2320,Joshua Baker,4/10/2025,329
2321,Ann Brandt,5/17/2024,65
2322,Michelle Murphy,12/28/2024,348
2323,Sara Rodriguez,10/28/2024,998
2324,Shaun Green,4/12/2025,53
2325,Patty Campbell,12/19/2024,335
2326,Kathy Dean,3/24/2025,173
2327,Wayne Woods,5/16/2024,84
2328,Savannah Nelson,5/15/2024,122
2329,Clifford Anderson,11/14/2024,328
2330,Margaret Copeland,7/18/2024,69
2331,Amanda Jones,10/5/2024,125
2332,Sean Harrington,2/25/2025,822
2333,Megan Brown,7/12/2024,304
2334,Tammy Underwood,2/10/2025,397
2335,Kim Pratt,4/3/2025,788
2336,Juan Webster,7/5/2024,857
2337,Melinda Mcdowell,7/17/2024,804
2338,Tyler Jackson,8/13/2024,397
2339,Scott Barnes,3/24/2025,740
2340,Taylor Holt,11/24/2024,324
2341,Donald Turner,2/8/2025,159
2342,Erin Miller,1/15/2025,502
2343,Eric Shah,2/22/2025,845
2344,Amanda Peters,8/29/2024,353
2345,Michelle Nixon,9/19/2024,311
2346,John Richards,11/27/2024,564
2347,Rebecca Parker,9/30/2024,897
2348,Donna Martinez,1/31/2025,58
2349,Shaun Haynes,1/18/2025,976
2350,Maria Rose,9/2/2024,901
2351,Melanie Orozco,11/6/2024,624
2352,Stephen Watson,10/7/2024,959
2353,Brian Campos,10/6/2024,726
2354,Cynthia Luna,6/16/2024,206
2355,Jordan Glenn,8/10/2024,447
2356,Paul Gomez,5/27/2024,958
2357,Mr. Elijah Lopez Jr.,6/14/2024,105
2358,Veronica Martin,8/26/2024,463
2359,Diane Hamilton,10/15/2024,889
2360,Alicia Lucas,8/10/2024,905
2361,Carrie Ortiz,5/27/2024,332
2362,Mary Lynch,10/31/2024,123
2363,Andrew Young,10/26/2024,900
2364,Debbie King,11/6/2024,562
2365,Terri Young,5/21/2024,884
2366,Judith Schmidt,9/9/2024,670
2367,Andrea Hernandez,5/12/2024,630
2368,Dr. Scott Miller Jr.,11/28/2024,365
2369,Albert Hill,12/8/2024,892
2370,Robert Morris,9/18/2024,20
2371,Deborah Brown,10/8/2024,867
2372,Carrie Cox,1/22/2025,346
2373,Randy Henry,8/21/2024,568
2374,Courtney Newton,4/27/2024,884
2375,Sarah Mcfarland,12/23/2024,888
2376,Nicole Lindsey,8/8/2024,557
2377,Donna Williams,2/13/2025,105
2378,Jennifer Harrison,12/6/2024,311
2379,Thomas Adams,2/17/2025,412
2380,Mary Martin,6/12/2024,782
2381,Sherri Mclean,8/12/2024,818
2382,Christian Green,6/12/2024,857
2383,Sue Fowler,1/18/2025,817
2384,James Williams,8/10/2024,114
2385,Kristin Castillo,5/31/2024,657
2386,Erica Barber,11/25/2024,934
2387,Nicholas Chan,4/27/2025,71
2388,Jeffrey Wilson,5/20/2024,647
2389,Michael Allison,10/17/2024,330
2390,Deborah Hernandez,4/28/2024,370
2391,Michele Miller,10/20/2024,754
2392,Michael Lawrence,10/13/2024,240
2393,Mary Jones,4/18/2025,296
2394,Patricia Cabrera,9/12/2024,969
2395,Caitlin Nguyen,10/19/2024,603
2396,Ana Johnson,7/14/2024,352
2397,Kevin Herrera,9/24/2024,700
2398,Stephanie Schroeder,2/27/2025,832
2399,Madison Lester,5/19/2024,72
2400,Julie Hall,5/3/2024,932
2401,Warren Woodward,11/7/2024,898
2402,Diane Nelson,7/17/2024,617
2403,John Klein,12/28/2024,55
2404,Kyle Cummings,4/26/2025,213
2405,Michael Mathews,5/24/2024,55
2406,Tammy Adams,5/25/2024,105
2407,Daniel Miller,8/5/2024,637
2408,Sandra Fernandez,5/6/2024,444
2409,Douglas Williams,5/2/2024,176
2410,Steven Deleon,12/12/2024,31
2411,Joseph Griffin,1/12/2025,239
2412,Sue Burke,5/21/2024,11
2413,Donald Bartlett,3/7/2025,999
2414,Alex Lawson,9/12/2024,727
2415,Gail Huynh,7/29/2024,837
2416,Bryan Gallagher,10/15/2024,119
2417,John Chapman,8/3/2024,964
2418,Carol Matthews,5/21/2024,753
2419,Haley Beard,10/13/2024,419
2420,Elizabeth Gibbs,5/14/2024,244
2421,Troy Garcia,1/6/2025,832
2422,Ashley Sweeney,8/19/2024,600
2423,Debbie Moreno,3/15/2025,118
2424,Michael Jimenez,5/17/2024,200
2425,Scott Goodman,4/18/2025,194
2426,Tonya Hatfield,2/12/2025,833
2427,Pamela Williams,12/18/2024,941
2428,Sara Snyder,10/10/2024,308
2429,Michelle Brown,9/11/2024,201
2430,Victoria Miller,1/16/2025,178
2431,Vanessa Padilla,6/3/2024,682
2432,Heather Butler,7/14/2024,813
2433,Tamara Young,10/22/2024,722
2434,Samuel Good,10/30/2024,752
2435,Katie Wright,5/21/2024,560
2436,Douglas Park,6/18/2024,320
2437,Angela Davis,1/26/2025,725
2438,Jonathan Jimenez,6/8/2024,926
2439,Justin Gray,7/14/2024,195
2440,Kathryn Young,4/9/2025,89
2441,Joseph Graves,8/14/2024,578
2442,Elizabeth Ramos,2/25/2025,389
2443,Patty Thompson,10/29/2024,148
2444,Stephanie Powell,4/10/2025,948
2445,Nicole Taylor,11/26/2024,385
2446,Scott Moses,5/4/2024,829
2447,Erin Young,1/31/2025,275
2448,Sarah Miller,2/1/2025,103
2449,Jeffery Cook,6/14/2024,385
2450,Kathy Aguilar,5/21/2024,216
2451,Brittney Patterson,7/5/2024,39
2452,Tracy Howard,5/27/2024,275
2453,Kathleen Silva,12/3/2024,258
2454,Mary Bailey,3/11/2025,388
2455,Nicole Lee,10/7/2024,380
2456,Virginia Hanson,1/26/2025,924
2457,Nancy Holt,10/23/2024,455
2458,Crystal Hughes,7/27/2024,153
2459,Brandon Miranda,3/11/2025,838
2460,Jennifer Rollins,10/4/2024,619
2461,Bonnie Lee,2/3/2025,770
2462,Jaclyn Beck,5/8/2024,451
2463,Brian Krause,5/19/2024,875
2464,Willie Compton,7/25/2024,471
2465,Stephen Thomas,3/1/2025,665
2466,April Carrillo,4/2/2025,704
2467,Crystal Willis,12/5/2024,254
2468,Maria Stewart,11/2/2024,174
2469,Jennifer Bailey,9/29/2024,349
2470,Mary Watson,4/3/2025,650
2471,Megan Morrison,2/5/2025,934
2472,Peter Ortega,7/4/2024,671
2473,Cynthia Davidson,4/13/2025,422
2474,Michael Hansen,11/5/2024,399
2475,Andrew Moran,8/17/2024,756
2476,Caitlin Villa,5/11/2024,54
2477,Rebecca Moon,7/12/2024,746
2478,Benjamin Smith,10/5/2024,568
2479,Tracy Fitzgerald,10/15/2024,690
2480,Alexander Parker,2/16/2025,441
2481,Paul Ortega,10/5/2024,771
2482,John Hicks,9/22/2024,820
2483,Jamie Compton,2/15/2025,935
2484,Amy Young,5/31/2024,390
2485,Robert Harrison,9/22/2024,815
2486,Alexander Douglas,10/23/2024,893
2487,Philip Miller,1/29/2025,177
2488,Mr. Christopher Crosby DDS,6/24/2024,978
2489,Jessica Butler,5/21/2024,348
2490,Laurie Pearson,8/22/2024,181
2491,Nancy Strong,9/1/2024,658
2492,Thomas Henry,1/26/2025,857
2493,Diana Evans,4/25/2025,945
2494,Catherine Beard,8/29/2024,236
2495,Kelly Romero,5/13/2024,319
2496,Melissa Maxwell,9/22/2024,541
2497,Kimberly Reynolds,2/4/2025,429
2498,Eric Powell,1/12/2025,753
2499,Jill Butler,3/24/2025,131
2500,Rebecca Holden,7/23/2024,623
2501,Nina Mendez,7/8/2024,936
2502,Nicholas Powell,10/30/2024,53
2503,Cindy Mckee,7/6/2024,268
2504,Curtis Eaton,9/27/2024,920
2505,Nancy Graham,4/5/2025,285
2506,Marc Gibbs,11/16/2024,353
2507,Zachary West,10/15/2024,16
2508,Emily Morrison,11/25/2024,795
2509,Scott Gomez,2/27/2025,537
2510,Jonathan Haas,8/15/2024,825
2511,Leslie Davis,12/16/2024,599
2512,Daniel Gomez,2/8/2025,816
2513,Gregory Williams,6/14/2024,388
2514,Matthew Miller,2/2/2025,553
2515,Jeff Walker,12/24/2024,584
2516,Edward Osborne,12/14/2024,405
2517,Kerry Preston,6/1/2024,409
2518,Thomas Nichols,6/19/2024,577
2519,Wesley Norris,1/12/2025,617
2520,Courtney Murphy,7/7/2024,873
2521,Robert Hurley,12/26/2024,810
2522,Nicole Tate,8/2/2024,978
2523,Timothy Ferguson III,1/12/2025,186
2524,Shaun Wood,1/27/2025,965
2525,Stephen Smith,5/13/2024,690
2526,Marissa Thomas,11/3/2024,779
2527,Mary Spencer,4/18/2025,629
2528,Jose Garcia,4/2/2025,583
2529,Gregory Lee,11/29/2024,281
2530,Matthew Meyer,5/14/2024,976
2531,Pam Doyle,5/9/2024,564
2532,Matthew Baker,2/4/2025,335
2533,Jared Neal,3/18/2025,155
2534,Chad Wright,7/18/2024,251
2535,Jose Barrett,1/29/2025,79
2536,Ashley Gregory,12/25/2024,462
2537,Breanna Leon,1/21/2025,738
2538,Shawn Huber,8/13/2024,184
2539,Scott Orr,11/4/2024,841
2540,David Roach,5/2/2024,306
2541,Charlene Mccoy,2/10/2025,74
2542,Savannah Wong,7/10/2024,898
2543,James Williams,2/21/2025,399
2544,Dr. Paul Green DDS,2/25/2025,807
2545,Christopher Thomas,5/18/2024,114
2546,Andrea Sloan,12/8/2024,898
2547,Deborah Long,7/15/2024,42
2548,Kevin Sullivan,12/18/2024,318
2549,Paul Horton,4/29/2024,520
2550,Stacey Mccarthy,10/8/2024,680
2551,Kimberly Mccann,6/22/2024,273
2552,Erika Jordan,9/23/2024,696
2553,Tony Jackson,10/1/2024,898
2554,Loretta Duncan,6/4/2024,404
2555,Jacqueline Scott,7/26/2024,342
2556,Douglas Hoffman,9/20/2024,316
2557,Cynthia Stewart,5/3/2024,878
2558,Mr. Robert Roberts,3/5/2025,593
2559,Joshua Duffy,9/30/2024,572
2560,Stephanie Perez,9/3/2024,666
2561,Tracy Lee,3/24/2025,98
2562,David Branch,6/30/2024,338
2563,Thomas Scott,3/27/2025,1000
2564,Cathy Gray,10/16/2024,256
2565,Daniel Blair,6/3/2024,979
2566,Dorothy Ferguson,4/8/2025,335
2567,Micheal Lawson,10/5/2024,302
2568,Amanda Perez,11/4/2024,681
2569,Cindy Lawson,6/4/2024,645
2570,Lisa Williams,11/19/2024,119
2571,Lisa Nunez,4/5/2025,172
2572,Ricardo Clark,12/6/2024,633
2573,Amanda Hamilton,7/22/2024,772
2574,Rebecca Ward,5/13/2024,427
2575,Ashley Carter,12/14/2024,419
2576,Angel Neal,8/31/2024,492
2577,Teresa Burton,11/12/2024,548
2578,Tyler Diaz,1/31/2025,989
2579,Stephanie Jimenez,11/29/2024,956
2580,Lynn Parks,4/20/2025,723
2581,David King,11/18/2024,141
2582,Christopher Hicks,6/22/2024,325
2583,Anthony Davis,3/31/2025,62
2584,Jeremy Frederick,2/2/2025,37
2585,Carla Rice,9/20/2024,823
2586,Kyle Conrad,11/18/2024,215
2587,Denise Morrison,12/23/2024,990
2588,Kelly Anderson MD,10/22/2024,713
2589,Alexander Bates,3/16/2025,453
2590,Alexis Scott,6/20/2024,629
2591,Mario Ferguson,5/8/2024,285
2592,John Morales,12/17/2024,198
2593,Abigail Crane,1/7/2025,572
2594,William Boyle,7/7/2024,611
2595,Keith Ho,2/18/2025,196
2596,Crystal Cannon,3/14/2025,260
2597,Antonio Evans,3/30/2025,806
2598,James Martin,5/8/2024,35
2599,Tiffany Vasquez,12/28/2024,742
2600,Sydney Cain,8/14/2024,634
2601,Tammy Hoover,7/20/2024,197
2602,John Allen,10/26/2024,613
2603,Christopher Williams,7/21/2024,908
2604,Gary Bishop,2/24/2025,81
2605,Robin Butler,9/7/2024,663
2606,Charles Williams,8/9/2024,999
2607,Sabrina Olsen,4/12/2025,827
2608,Justin Farley,10/27/2024,195
2609,Derek Barnes,1/9/2025,238
2610,Kurt Holmes,7/6/2024,310
2611,Cole Sanchez,3/17/2025,905
2612,Vincent Wade,3/4/2025,140
2613,Pamela Lopez,4/25/2025,594
2614,Jordan Finley,9/20/2024,195
2615,Kayla Little,7/17/2024,608
2616,Victor Gardner,5/20/2024,176
2617,Kathy Cain,10/13/2024,77
2618,Patrick Smith,4/16/2025,65
2619,Nicholas Roberts,11/15/2024,821
2620,Danny Porter,6/4/2024,387
2621,Lauren Hester,2/18/2025,63
2622,Crystal Francis,10/30/2024,826
2623,Andrew Bishop,8/18/2024,593
2624,Stephen Obrien,5/20/2024,771
2625,David Payne,4/21/2025,978
2626,Alan Pennington,11/9/2024,991
2627,Andrew Mason,11/19/2024,822
2628,Jennifer Stone,9/2/2024,841
2629,Nicholas Johnson,3/19/2025,983
2630,Joseph Anderson,3/5/2025,936
2631,Michael Yates,6/17/2024,971
2632,Karen Morales,5/6/2024,858
2633,Tonya Morgan,1/24/2025,277
2634,Debra Barron,2/11/2025,650
2635,Andrew Ward,3/7/2025,871
2636,Jessica Knight,12/4/2024,474
2637,James Butler,10/15/2024,667
2638,Elizabeth Woods,2/28/2025,790
2639,Adam Wilson Jr.,5/2/2024,938
2640,Robert Jones,5/24/2024,63
2641,Joy Walker,7/22/2024,275
2642,John Morgan,4/28/2024,443
2643,Dennis Freeman,10/4/2024,368
2644,Zachary Walters,6/2/2024,934
2645,Joel Knight,6/22/2024,741
2646,Bryan Pitts,3/23/2025,161
2647,Jacqueline Figueroa,9/22/2024,667
2648,Stephanie Floyd,7/6/2024,775
2649,Stephen Harris,8/21/2024,668
2650,James Flynn,2/9/2025,259
2651,Rachel Adams,12/21/2024,791
2652,Marissa Turner,11/17/2024,212
2653,David Rich,6/25/2024,770
2654,Brandon Douglas,10/11/2024,796
2655,Kyle Harris,11/14/2024,548
2656,Alec Hoover,6/14/2024,507
2657,Ashley Griffith,5/20/2024,951
2658,Mary Anderson,1/13/2025,140
2659,Robin Garcia,3/30/2025,711
2660,Sarah Adams,4/2/2025,977
2661,Keith Bryant,1/22/2025,404
2662,Gregg Greene,8/6/2024,326
2663,Derek Lindsey,8/31/2024,331
2664,Jessica Winters,3/9/2025,590
2665,Mary Henson,12/31/2024,10
2666,Deanna Rios,12/9/2024,313
2667,Erin Lee,2/19/2025,690
2668,Lauren Saunders,4/4/2025,754
2669,Robert Wells,4/23/2025,279
2670,Ashley Rose,7/5/2024,968
2671,Rachel Johnson,2/3/2025,40
2672,Dale Thomas,11/12/2024,26
2673,Tony Cruz,8/27/2024,477
2674,Cody Gray,7/28/2024,555
2675,Greg Garza,6/22/2024,577
2676,Timothy Cooper,2/28/2025,414
2677,Anthony Welch,5/4/2024,852
2678,David Smith,10/15/2024,525
2679,Amanda Brown,12/19/2024,424
2680,Heidi Singleton,7/12/2024,875
2681,Sharon Kim,5/30/2024,947
2682,Emily Clarke,4/25/2025,215
2683,Benjamin Schwartz,3/23/2025,414
2684,Nicole Kim,5/20/2024,832
2685,Brian Hodges,6/1/2024,435
2686,Brett Johnson,11/4/2024,459
2687,Melinda Collins,8/15/2024,406
2688,Albert Shields,3/19/2025,96
2689,Kevin Oneill DDS,6/18/2024,605
2690,Kelly Davis,12/8/2024,182
2691,Andrea Winters,4/23/2025,243
2692,Michael Carr,5/27/2024,385
2693,Devin Ramirez,4/8/2025,204
2694,Lauren Garcia,3/4/2025,78
2695,Nicole Leblanc,12/10/2024,336
2696,Ariel Wood,5/23/2024,715
2697,Thomas Osborne,12/12/2024,477
2698,Shawn Cox,4/17/2025,403
2699,Anne Klein,12/27/2024,518
2700,Jason Evans,7/1/2024,927
2701,James Greer,9/1/2024,696
2702,Jeremy Williams,1/12/2025,54
2703,Duane Beck,9/16/2024,547
2704,Anthony Brown,7/22/2024,240
2705,Loretta Ryan,11/10/2024,136
2706,Hannah Evans,3/29/2025,630
2707,Lisa Potts,11/18/2024,71
2708,Sherry Weiss,1/16/2025,855
2709,John Burke,10/23/2024,284
2710,Sarah Cruz,11/14/2024,45
2711,Harold West,3/8/2025,304
2712,Timothy Campbell,6/30/2024,686
2713,Leroy Allen,11/4/2024,181
